Thursday,06,March,2014,22:42:51
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'001,,,,Group B:,'031,,,,Group C:,'118
,,Engine Speed,Coolant,Lambda Control,Basic Setting,,Lambda Control,Lambda Control,Bin. Bits,Bin. Bits,,Engine Speed,Intake Air,Boost Pressure,Boost Pressure
,TIME,(G28),Temperature (G62),Bank 1,Requirements,TIME,Bank 1 (actual),Bank 1 (specified),,,TIME,(G28),Temperature (G42),Control (N75),(actual)
Marker,STAMP, /min,°C,%,,STAMP,,,,,STAMP, /min,°C,%, mbar
,0.01,760,75.0,3.1,00111110,0.29,1.008,1.000,        ,        ,0.60,760,45.0,0.0,1000.0
,0.90,760,75.0,-0.8,00111110,1.20,1.008,1.000,        ,        ,1.50,720,45.0,0.0,1000.0
,1.80,760,75.0,-1.6,00111110,2.10,0.992,1.000,        ,        ,2.41,760,45.0,0.0,1000.0
,2.71,720,75.0,-2.3,00111110,3.01,0.992,1.000,        ,        ,3.35,760,45.0,0.0,1000.0
,3.61,720,75.0,-2.3,00111110,3.91,1.000,1.000,        ,        ,4.22,760,45.0,0.0,1000.0
,4.52,720,75.0,1.6,00111110,4.83,1.000,1.000,        ,        ,5.12,720,45.0,0.0,1000.0
,5.42,720,75.0,1.6,00111110,5.72,1.000,1.000,        ,        ,6.03,720,45.0,0.0,1000.0
,6.33,720,75.0,1.6,00111110,6.63,1.008,1.000,        ,        ,6.93,720,45.0,0.0,1000.0
,7.23,760,75.0,1.6,00111110,7.53,1.000,1.000,        ,        ,7.84,720,45.0,0.0,1000.0
,8.15,760,75.0,-3.1,00111110,8.44,0.992,1.000,        ,        ,8.74,760,45.0,0.0,1000.0
,9.04,760,75.0,-3.9,00111110,9.35,0.992,1.000,        ,        ,9.65,760,45.0,0.0,1000.0
,9.95,720,75.0,-3.9,00111110,10.25,0.992,1.000,        ,        ,10.55,760,45.0,0.0,1000.0
,10.85,720,75.0,-3.9,00111110,11.16,1.000,1.000,        ,        ,11.46,720,45.0,0.0,1000.0
,11.76,720,75.0,0.0,00111110,12.07,1.000,1.000,        ,        ,12.36,760,45.0,0.0,1000.0
,12.66,720,75.0,0.0,00111110,12.98,1.000,1.000,        ,        ,13.27,720,45.0,0.0,1000.0
,13.57,760,75.0,0.0,00111110,13.88,1.000,1.000,        ,        ,14.17,720,45.0,0.0,1000.0
,14.47,760,75.0,-0.8,00111110,14.78,1.008,1.000,        ,        ,15.08,720,45.0,0.0,1000.0
,15.39,760,75.0,-4.7,00111110,15.68,1.008,1.000,        ,        ,15.98,760,45.0,0.0,1000.0
,16.28,760,75.0,-3.9,00111110,16.59,1.008,1.000,        ,        ,16.89,760,45.0,0.0,1000.0
,17.19,760,75.0,-3.9,00111110,17.49,0.992,1.000,        ,        ,17.80,720,45.0,0.0,1000.0
,18.09,720,75.0,-4.7,00111110,18.40,1.000,1.000,        ,        ,18.71,720,45.0,0.0,1000.0
,19.00,720,75.0,0.0,00111110,19.31,1.000,1.000,        ,        ,19.60,720,45.0,0.0,1000.0
,19.91,720,75.0,0.0,00111110,20.21,1.000,1.000,        ,        ,20.51,720,45.0,0.0,1000.0
,20.81,720,75.0,-0.8,00111110,21.11,1.008,1.000,        ,        ,21.41,720,44.0,0.0,1000.0
,21.72,760,75.0,0.0,00111110,22.02,1.008,1.000,        ,        ,22.32,720,44.0,0.0,1000.0
,22.62,760,75.0,-3.9,00111110,22.92,1.008,1.000,        ,        ,23.22,720,44.0,0.0,1000.0
,23.53,760,75.0,-4.7,00111110,23.83,0.992,1.000,        ,        ,24.14,760,44.0,0.0,1000.0
,24.43,720,75.0,-4.7,00111110,24.73,0.992,1.000,        ,        ,25.03,760,44.0,0.0,1000.0
,25.34,720,75.0,-4.7,00111110,25.64,0.992,1.000,        ,        ,25.94,720,44.0,0.0,1000.0
,26.24,720,75.0,0.0,00111110,26.54,1.000,1.000,        ,        ,26.84,760,44.0,0.0,1000.0
,27.15,720,75.0,0.0,00111110,27.45,1.008,1.000,        ,        ,27.75,720,44.0,0.0,1000.0
,28.05,720,75.0,0.0,00111110,28.36,1.008,1.000,        ,        ,28.66,720,44.0,0.0,1000.0
,28.96,760,76.0,0.0,00111110,29.27,1.008,1.000,        ,        ,29.56,720,44.0,0.0,1000.0
,29.86,760,75.0,-3.9,00111110,30.16,1.008,1.000,        ,        ,30.47,760,44.0,0.0,1000.0
,30.77,760,76.0,-3.9,00111110,31.07,1.000,1.000,        ,        ,31.37,760,44.0,0.0,1000.0
,31.68,760,76.0,-3.9,00111110,31.97,1.000,1.000,        ,        ,32.28,760,44.0,0.0,1000.0
,32.58,720,76.0,-3.9,00111110,32.88,1.000,1.000,        ,        ,33.18,760,44.0,0.0,1000.0
,33.48,720,76.0,0.8,00111110,33.78,1.008,1.000,        ,        ,34.10,760,44.0,0.0,1000.0
,34.39,720,76.0,0.8,00111110,34.69,1.008,1.000,        ,        ,34.99,720,44.0,0.0,1000.0
1,35.29,720,76.0,0.8,00111110,35.60,1.008,1.000,        ,        ,35.90,720,44.0,0.0,1000.0
,36.20,760,76.0,0.8,00111110,36.51,1.008,1.000,        ,        ,36.80,720,44.0,0.0,1000.0
,37.10,760,76.0,-3.1,00111110,37.41,1.000,1.000,        ,        ,37.71,1000,44.0,0.0,1000.0
,38.01,1320,76.0,-4.7,00101110,38.31,0.922,1.000,        ,        ,38.61,1480,43.0,0.0,1000.0
,38.91,1480,76.0,-15.6,00101110,39.21,0.969,0.961,        ,        ,39.53,1440,42.0,0.0,1000.0
,39.83,1440,76.0,-10.2,00101110,40.13,0.984,0.953,        ,        ,40.42,1440,42.0,0.0,1000.0
,40.72,1440,76.0,-7.0,00101110,41.03,0.961,0.953,        ,        ,41.33,1480,42.0,0.0,1000.0
,41.63,1480,75.0,-7.0,00101110,41.94,0.953,0.953,        ,        ,42.24,1480,42.0,0.0,1000.0
