Thursday,06,March,2014,22:45:15
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'002,,,,Group B:,'032,,,,Group C:,'115
,,Engine Speed,Engine Load,Injection Timing,Mass Air Flow,,Adaptation (Idle),Adaptation (Partial),Bin. Bits,Bin. Bits,,Engine Speed,Engine Load,Boost Pressure,Boost Pressure
,TIME,(G28),,,Sensor (G70),TIME,Bank 1 Sensor 1,Bank 1 Sensor 1,,,TIME,(G28),,(specified),(actual)
Marker,STAMP, /min,%, ms, g/s,STAMP,%,%,,,STAMP, /min,%, mbar, mbar
,0.26,720,20.3,1.70,2.89,0.56,0.4,-7.0,        ,        ,0.86,720,19.5,1000.0,1000.0
,1.16,720,19.5,2.04,2.89,1.47,0.4,-7.0,        ,        ,1.77,720,20.3,1000.0,1000.0
,2.08,760,20.3,2.04,2.83,2.38,0.4,-7.0,        ,        ,2.67,720,19.5,1000.0,1000.0
,2.97,760,19.5,1.70,2.78,3.28,0.4,-7.0,        ,        ,3.58,720,19.5,1000.0,1000.0
,3.88,720,19.5,1.70,2.75,4.18,0.4,-7.0,        ,        ,4.48,720,19.5,1000.0,1000.0
,4.79,760,19.5,1.70,2.75,5.09,0.4,-7.0,        ,        ,5.39,760,19.5,1000.0,1000.0
,5.69,720,19.5,1.70,2.72,5.99,0.4,-7.0,        ,        ,6.30,720,19.5,1000.0,1000.0
,6.59,720,19.5,1.70,2.72,6.90,0.4,-7.0,        ,        ,7.20,760,19.5,1000.0,1000.0
,7.50,720,19.5,1.70,2.75,7.80,0.4,-7.0,        ,        ,8.10,720,20.3,1000.0,1000.0
,8.40,720,20.3,1.70,2.72,8.72,0.4,-7.0,        ,        ,9.01,720,20.3,1000.0,1000.0
,9.31,760,20.3,1.70,2.69,9.61,0.4,-7.0,        ,        ,9.91,720,20.3,1000.0,1000.0
,10.22,760,20.3,1.70,2.69,10.52,0.4,-7.0,        ,        ,10.82,760,20.3,1000.0,1000.0
,11.13,760,20.3,1.70,2.69,11.42,0.4,-7.0,        ,        ,11.72,720,20.3,1000.0,1000.0
,12.02,760,19.5,1.70,2.58,12.33,0.4,-7.0,        ,        ,12.63,760,20.3,1000.0,1000.0
,12.93,720,19.5,1.70,2.64,13.23,0.4,-7.0,        ,        ,13.54,760,19.5,1000.0,1000.0
,13.84,760,20.3,1.70,2.64,14.14,0.4,-7.0,        ,        ,14.44,760,20.3,1000.0,1000.0
,14.74,720,20.3,1.70,2.61,15.05,0.4,-7.0,        ,        ,15.34,720,20.3,1000.0,1000.0
,15.65,720,20.3,1.70,2.61,15.95,0.4,-7.0,        ,        ,16.25,760,20.3,1000.0,1000.0
,16.56,720,20.3,1.70,2.58,16.85,0.4,-7.0,        ,        ,17.15,720,20.3,1000.0,1000.0
,17.46,760,20.3,1.70,2.56,17.76,0.4,-7.0,        ,        ,18.06,720,20.3,1000.0,1000.0
,18.37,760,20.3,1.70,2.56,18.66,0.4,-7.0,        ,        ,18.97,720,20.3,1000.0,1000.0
,19.27,760,20.3,1.70,2.56,19.57,0.4,-7.0,        ,        ,19.88,760,20.3,1000.0,1000.0
,20.17,760,20.3,1.70,2.56,20.47,0.4,-7.0,        ,        ,20.77,720,20.3,1000.0,1000.0
,21.08,760,20.3,1.70,2.56,21.38,0.4,-7.0,        ,        ,21.68,760,20.3,1000.0,1000.0
,21.98,760,20.3,1.70,2.61,22.29,0.4,-7.0,        ,        ,22.59,760,20.3,1000.0,1000.0
,22.89,720,21.1,1.70,2.64,23.19,0.4,-7.0,        ,        ,23.49,720,20.3,1000.0,1000.0
,23.79,720,20.3,1.70,2.58,24.09,0.4,-7.0,        ,        ,24.40,720,20.3,1000.0,1000.0
,24.70,720,20.3,1.70,2.61,25.00,0.4,-7.0,        ,        ,25.30,720,20.3,1000.0,1000.0
,25.60,760,20.3,1.70,2.58,25.90,0.4,-7.0,        ,        ,26.21,720,20.3,1000.0,1000.0
,26.51,760,20.3,1.70,2.58,26.81,0.4,-7.0,        ,        ,27.11,760,20.3,1000.0,1000.0
1,27.42,760,20.3,1.70,2.58,27.71,0.4,-7.0,        ,        ,28.02,760,20.3,1000.0,1000.0
,28.32,920,27.8,2.72,5.33,28.63,0.4,-7.0,        ,        ,28.92,1440,18.0,1000.0,1000.0
,29.22,1520,16.5,1.70,4.81,29.52,0.4,-7.0,        ,        ,29.83,1520,16.5,1000.0,1000.0
,30.14,1520,16.5,1.70,4.92,30.43,0.4,-7.0,        ,        ,30.74,1560,16.5,1000.0,1000.0
,31.04,1560,16.5,1.70,4.86,31.34,0.4,-7.0,        ,        ,31.65,1600,16.5,1000.0,1000.0
,31.95,1600,16.5,1.70,5.00,32.24,0.4,-7.0,        ,        ,32.54,1560,16.5,1000.0,1000.0
,32.84,1560,16.5,1.70,5.00,33.14,0.4,-7.0,        ,        ,33.45,1560,15.8,1000.0,1000.0
,33.75,1600,15.8,1.70,4.92,34.05,0.4,-7.0,        ,        ,34.36,1600,16.5,1000.0,1000.0
,34.66,1600,16.5,1.70,4.94,34.96,0.4,-7.0,        ,        ,35.27,1560,16.5,1000.0,1000.0
,35.57,1560,16.5,1.70,4.86,35.87,0.4,-7.0,        ,        ,36.16,1560,16.5,1000.0,1000.0
,36.46,1600,16.5,1.70,4.83,36.77,0.4,-7.0,        ,        ,37.07,1560,16.5,1000.0,1000.0
,37.38,1560,16.5,1.70,4.89,37.68,0.4,-7.0,        ,        ,37.98,1560,16.5,1000.0,1000.0
,38.27,1560,16.5,1.70,4.75,38.58,0.4,-7.0,        ,        ,38.88,1560,15.8,1000.0,1000.0
,39.18,1560,15.8,1.70,4.69,39.49,0.4,-7.0,        ,        ,39.78,1560,15.8,1000.0,1000.0
,40.09,1560,16.5,1.70,4.75,40.40,0.4,-7.0,        ,        ,40.70,1560,16.5,1000.0,1000.0
,40.99,1560,16.5,1.70,4.67,41.29,0.4,-7.0,        ,        ,41.59,1560,16.5,1000.0,1000.0
,41.89,1520,16.5,1.70,4.56,42.20,0.4,-7.0,        ,        ,42.51,1560,15.8,1000.0,1000.0
